kind,name,v0,v1,v2,v3
tip_world_m,thumb4,-0.079308,0.201646,0.921100,
tip_cube_m,thumb4,0.080948,0.028059,0.146100,
tip_world_m,index4,-0.136928,0.075351,0.884814,
tip_cube_m,index4,0.025742,-0.099310,0.109814,
tip_world_m,middle4,-0.155350,0.068911,0.865971,
tip_cube_m,middle4,0.007447,-0.106099,0.090971,
tip_world_m,ring4,-0.169139,0.074904,0.848863,
tip_cube_m,ring4,-0.006454,-0.100370,0.073863,
tip_world_m,little4,-0.183588,0.086542,0.827987,
tip_cube_m,little4,-0.021121,-0.089009,0.052987,
joint_rad,shoulder_pan_joint,1.550042,,,
joint_rad,shoulder_lift_joint,-2.128179,,,
joint_rad,elbow_joint,-2.226381,,,
joint_rad,wrist_1_joint,-1.917136,,,
joint_rad,wrist_2_joint,-1.572905,,,
joint_rad,wrist_3_joint,4.028440,,,
joint_rad,index1_joint,0.000197,,,
joint_rad,little1_joint,-0.000002,,,
joint_rad,middle1_joint,-0.000072,,,
joint_rad,ring1_joint,-0.000194,,,
joint_rad,thumb1_joint,-0.035277,,,
joint_rad,index2_joint,0.010845,,,
joint_rad,little2_joint,0.007067,,,
joint_rad,middle2_joint,0.008398,,,
joint_rad,ring2_joint,0.008239,,,
joint_rad,thumb2_joint,0.028504,,,
joint_rad,index3_joint,0.027015,,,
joint_rad,little3_joint,0.017165,,,
joint_rad,middle3_joint,0.023349,,,
joint_rad,ring3_joint,0.023646,,,
joint_rad,thumb3_joint,0.038326,,,
joint_rad,index4_joint,0.000001,,,
joint_rad,little4_joint,0.000000,,,
joint_rad,middle4_joint,-0.000000,,,
joint_rad,ring4_joint,-0.000000,,,
joint_rad,thumb4_joint,-0.000000,,,
force_N,thumb4,0.000000,,,
force_N,index4,0.000000,,,
force_N,middle4,0.000000,,,
force_N,ring4,0.000000,,,
force_N,little4,0.000000,,,
wrist_pos_m,wrist_3_link,-0.158994,0.286445,0.855266,
wrist_quat,wrist_3_link,0.299101,0.307525,0.632206,-0.645200
cube_pos_m,cube_obj,-0.160776,0.175133,0.775000,
handcal_dW_m.thumb1,thumb4,0.005494,0.016384,0.000051,
handcal_dC_m.thumb1,thumb4,-0.004614,-0.000384,-0.016649,
handcal_dW_m.thumb1,index4,-0.000640,-0.000139,0.000118,
handcal_dC_m.thumb1,index4,0.000631,-0.000118,0.000176,
handcal_dW_m.thumb1,middle4,-0.000627,-0.000039,0.000094,
handcal_dC_m.thumb1,middle4,0.000624,-0.000096,0.000075,
handcal_dW_m.thumb1,ring4,-0.000633,0.000041,0.000073,
handcal_dC_m.thumb1,ring4,0.000634,-0.000076,-0.000006,
handcal_dW_m.thumb1,little4,-0.000651,0.000122,0.000047,
handcal_dC_m.thumb1,little4,0.000656,-0.000052,-0.000086,
handcal_dW_m.thumb2,thumb4,-0.000755,0.003898,-0.005811,
handcal_dC_m.thumb2,thumb4,0.000981,0.005723,-0.003978,
handcal_dW_m.thumb2,index4,0.000154,0.000137,0.000043,
handcal_dC_m.thumb2,index4,-0.000147,-0.000045,-0.000143,
handcal_dW_m.thumb2,middle4,0.000150,0.000072,0.000038,
handcal_dC_m.thumb2,middle4,-0.000146,-0.000039,-0.000079,
handcal_dW_m.thumb2,ring4,0.000148,0.000015,0.000033,
handcal_dC_m.thumb2,ring4,-0.000148,-0.000033,-0.000022,
